Country,Region,Average age of population (years),"Undernourished (per 1,000 people)","Birth Rate (live births per 1,000 of people per year)","Net Migration Rate (immigration - emigration per 1,000 people)","Mortality rate (units of deaths per 1,000 individuals per year)",land Area in square kilometers,organic,conventional,gmo,Land Used for Farming (Square Kilometers),"Total Net Income
Citrus Fruits
(1000 $)","Total Net Income
Non-Citrus Fruits
(1000 $)","Total Net Income
Nuts
(1000 $)","Total Net Income
Grains
(1000 $)","Total Net Income
Oil Crops
(1000 $)","Total Net Income
Vegetables
(1000 $)","Total Net Income
Specialty Crops
(1000 $)","Total Net Income 
Feed Crops 
(1000 $)","Total Net Income
Fish
(1000 $)","Total Net Income
Meat Animales
(1000 $)","Total Net Income
Poultry and Eggs
(1000 $)","Total Net Income
Dairy
(1000 $)"
String,String,int,int,int,int,int,int,double,double,double,int,int,int,int,int,int,int,int,int,int,int,int,int
Afghanistan,South Asia,16,24,35,-3,8,652860,0.00000759,0.99999241,0,,,,,,,,,,,,,
Albania,Europe,32,5,12,-6,7,27400,0.00833333,0.99166667,0,,,,,,,,,,,,,
Algeria,Middle East,26,5,25,-1,6,2381740,0.00008194,0.99991806,0,,,,,,,,,,,,,
Andorra,Europe,42,5,8,-7,3,470,0,1,0,,,,,,,,,,,,,
Angola,Sub-Saharan Africa,16,19,46,1,14,1246700,0.000501,0.999499,0,,,,,,,,,,,,,
Antigua and Barbuda,Middle America,30,0,14,5,5,440,0,1,0,,,,,,,,,,,,,
Argentina,South America,30,5,19,0,7,2736690,0.09721369,0.280475308,0.622311002,,,,,,,,,,,,,
Armenia,Russia and Caucasus,32,7,14,-8,9,28470,0.00149224,0.99850776,0,,,,,,,,,,,,,
Australia,Oceania,37,5,13,10,6,7682300,0.23295478,0.756645453,0.010399767,,,,,,,,,,,,,
Austria,Europe,42,5,9,6,9,82409,0.37997199,0.62002801,0,,,,,,,,,,,,,
Azerbaijan,Russia and Caucasus,29,5,18,0,6,82658,0.0103933,0.9896067,0,,,,,,,,,,,,,
Bahamas,Middle America,31,5,16,2,5,10010,0,1,0,,,,,,,,,,,,,
Bahrain,Middle East,30,5,15,20,2,760,0,1,0,,,,,,,,,,,,,
Bangladesh,South Asia,24,17,20,-3,6,130170,0.00079855,0.993338411,0.005863039,,,,,,,,,,,,,
Barbados,Middle America,36,5,12,1,8,430,0,1,0,,,,,,,,,,,,,
Belarus,Europe,39,5,13,1,13,202910,0,1,0,,,,,,,,,,,,,
Belgium,Europe,41,5,11,4,10,30280,0.06989374,0.93010626,0,,,,,,,,,,,,,
Belize,Middle America,22,6,23,6,4,22810,0.01121495,0.98878505,0,,,,,,,,,,,,,
Benin,Sub-Saharan Africa,18,12,37,0,10,112760,0.00057047,0.99942953,0,,,,,,,,,,,,,
Bhutan,South Asia,24,5,22,0,6,38117,0.05442478,0.94557522,0,,,,,,,,,,,,,
Bolivia,South America,22,0,26,0,7,1083300,0.00786058,0.751754805,0.240384615,,,,,,,,,,,,,
Bosnia and Herzegovina,Europe,39,0,8,0,9,51000,0.00030714,0.99969286,0,,,,,,,,,,,,,
Botswana,Sub-Saharan Africa,22,29,24,2,17,566730,0,1,0,,,,,,,,,,,,,
Brazil,South America,29,5,15,0,6,8358140,0.00865584,0.45967722,0.53166694,,,,,,,,,,,,,
Brunei Darussalam,Southeast Asia,29,5,16,1,3,5270,0,1,0,,,,,,,,,,,,,
Bulgaria,Europe,42,5,9,0,14,108560,0.00733724,0.99266276,0,,,,,,,,,,,,,
Burkina Faso,Sub-Saharan Africa,17,5,43,-2,11,273600,0.00341421,0.909930677,0.086655113,,,,,,,,,,,,,
Burundi,Sub-Saharan Africa,18,5,45,0,13,25680,0.00039286,0.99960714,0,,,,,,,,,,,,,
Cabo Verde,Sub-Saharan Africa,24,5,22,-7,5,4030,0,1,0,,,,,,,,,,,,,
Cambodia,Southeast Asia,23,17,24,-2,6,176520,0.00199278,0.99800722,0,,,,,,,,,,,,,
Cameroon,Sub-Saharan Africa,18,12,39,-1,12,472710,0.00010323,0.99989677,0,,,,,,,,,,,,,
Canada,Arctic America,40,5,11,8,7,9093510,0.01756379,0.740234682,0.242201528,,,,,,,,,,,,,
Central African Republic,Sub-Saharan Africa,19,5,47,0,15,622980,0,1,0,,,,,,,,,,,,,
Chad,Sub-Saharan Africa,16,40,48,-2,15,1259200,0,1,0,,,,,,,,,,,,,
Chile,South America,32,5,14,0,6,743532,0.0165673,0.954769549,0.028663151,,,,,,,,,,,,,
China,East Asia,35,12,12,0,7,9424700.9,0.0155469,0.95262481,0.03182829,1360074197,,,,,,,,,,,,
Colombia,South America,27,15,19,-2,6,1109500,0.01202699,0.958638894,0.029334116,,,,,,,,,,,,,
Comoros,Sub-Saharan Africa,19,0,34,-3,9,1861,0.01830986,0.98169014,0,,,,,,,,,,,,,
Republic of the Congo,Sub-Saharan Africa,19,33,38,-2,10,341500,0,1,0,,,,,,,,,,,,,
Costa Rica,Middle America,28,0,15,2,4,51060,0.01627119,0.898983047,0.084745763,,,,,,,,,,,,,
Cote d'Ivoire,Sub-Saharan Africa,19,5,37,1,14,318000,0.0027973,0.9972027,0,,,,,,,,,,,,,
Croatia,Europe,42,5,10,-1,13,55960,0.03266306,0.96733694,0,,,,,,,,,,,,,
Cuba,Middle America,38,5,11,-4,8,106440,0.00055611,0.986862108,0.012581782,,,,,,,,,,,,,
Cyprus,Middle East,34,5,13,-2,7,9240,0.02965116,0.97034884,0,,,,,,,,,,,,,
Czech Republic,Europe,40,5,10,0,10,77240,0.14907407,0.835493831,0.015432099,,,,,,,,,,,,,
Democratic People's Republic of Korea,East Asia,33,5,15,0,9,120410,0,1,0,6486363,,,,,,,,,,,,
Democratic Republic of the Congo,Sub-Saharan Africa,17,5,46,0,16,2267050,0.00526316,0.99473684,0,,,,,,,,,,,,,
Denmark,Europe,41,5,10,5,9,42430,0.06480224,0.93519776,0,,,,,,,,,,,,,
Djibouti,Sub-Saharan Africa,22,22,28,-4,9,23180,0,1,0,,,,,,,,,,,,,
Dominica,Middle America,32,0,13,-6,8,750,0.01,0.99,0,,,,,,,,,,,,,
Dominican Republic,Middle America,25,0,21,-3,6,48320,0.14496124,0.85503876,0,,,,,,,,,,,,,
Ecuador,South America,25,13,23,0,5,248360,0.02059009,0.97940991,0,,,,,,,,,,,,,
Egypt,Middle East,24,5,32,-1,6,995450,0.02265193,0.97734807,0,,,,,,,,,,,,,
El Salvador,Middle America,23,5,20,-7,7,20720,0.00738749,0.99261251,0,,,,,,,,,,,,,
Equatorial Guinea,Sub-Saharan Africa,20,5,36,5,13,28050,0,1,0,,,,,,,,,,,,,
Eritrea,Sub-Saharan Africa,18,5,33,2,7,101000,0,1,0,,,,,,,,,,,,,
Estonia,Europe,40,5,11,-5,12,42390,0.21003135,0.78996865,0,,,,,,,,,,,,,
Ethiopia,Sub-Saharan Africa,17,37,28,0,8,1000000,0.00858795,0.99141205,0,,,,,,,,,,,,,
Fiji,Oceania,26,5,21,-6,8,18270,0.008,0.992,0,,,,,,,,,,,,,
Finland,Europe,42,5,11,3,9,303890,0.08338508,0.91661492,0,,,,,,,,,,,,,
France,Europe,40,5,12,1,9,547557,0.05056786,0.94943214,0,,,,,,,,,,,,,
Gabon,Sub-Saharan Africa,21,5,32,1,9,257670,0,1,0,,,,,,,,,,,,,
Gambia,Sub-Saharan Africa,17,7,41,-2,10,10120,0,1,0,,,,,,,,,,,,,
Georgia,Russia and Caucasus,37,10,13,-1,11,69490,0.00379219,0.99620781,0,,,,,,,,,,,,,
Germany,Europe,44,5,8,5,11,348560,0.08410766,0.91589234,0,,,,,,,,,,,,,
Ghana,Sub-Saharan Africa,20,5,34,-1,9,227540,0.00268194,0.99731806,0,,,,,,,,,,,,,
Greece,Europe,42,5,9,-4,11,128900,0.05565194,0.94434806,0,,,,,,,,,,,,,
Grenada,Middle America,25,5,16,-2,7,340,0.009,0.991,0,,,,,,,,,,,,,
Guatemala,Middle America,19,15,31,-1,5,107160,0.00542139,0.99457861,0,,,,,,,,,,,,,
Guinea,Sub-Saharan Africa,18,18,38,0,12,245720,0,1,0,,,,,,,,,,,,,
Guinea-Bissau,Sub-Saharan Africa,19,22,38,-1,13,28120,0,1,0,,,,,,,,,,,,,
Guyana,South America,22,12,20,-15,7,196850,0.009375,0.990625,0,,,,,,,,,,,,,
Haiti,Middle America,21,50,28,-3,9,27560,0.0006791,0.9993209,0,,,,,,,,,,,,,
Honduras,Middle America,21,15,24,-1,5,111890,0.01619048,0.949795915,0.034013605,,,,,,,,,,,,,
Hungary,Europe,40,5,9,1,13,90530,0.02717344,0.97282656,0,,,,,,,,,,,,,
Iceland,Europe,35,5,13,5,7,100250,0.06710311,0.93289689,0,,,,,,,,,,,,,
India,South Asia,25,15,22,0,7,2973190,0.00640181,0.925110701,0.068487489,445222862,,,,,,,,,,,,
Indonesia,Southeast Asia,27,11,20,-1,6,1811570,0.00162637,0.99837363,0,,,,,,,,,,,,,
Iran,Middle East,27,0,19,0,5,1628550,0.00222817,0.99777183,0,,,,,,,,,,,,,
Iraq,Middle East,19,25,31,1,5,434320,0,1,0,,,,,,,,,,,,,
Ireland,Europe,34,5,15,-7,7,68890,0.05079962,0.94920038,0,,,,,,,,,,,,,
Israel,Middle East,30,5,21,3,5,21640,0,1,0,,,,,,,,,,,,,
Italy,Europe,43,5,9,3,10,294140,0.11871523,0.88128477,0,,,,,,,,,,,,,
Jamaica,Middle America,27,8,18,-5,7,10830,0.00245455,0.99754545,0,,,,,,,,,,,,,
Japan,East Asia,45,5,8,1,10,364555,0.00206095,0.99793905,0,11170354,,,,,,,,,,,,
Jordan,Middle East,22,5,28,-8,4,88780,0.00997698,0.99002302,0,,,,,,,,,,,,,
Kazakhstan,Central Asia,29,5,23,0,8,2699700,0.0081377,0.9918623,0,536356760,,,,,,,,,,,,
Kenya,Sub-Saharan Africa,19,24,34,0,9,569140,0.00081077,0.99918923,0,,,,,,,,,,,,,
Kiribati,Oceania,23,5,30,-1,9,810,0,1,0,,,,,,,,,,,,,
Kuwait,Middle East,28,5,18,35,2,17820,0,1,0,,,,,,,,,,,,,
Kyrgyzstan,Central Asia,24,7,28,-1,7,191800,0.01118022,0.98881978,0,,,,,,,,,,,,,
Lao People's Democratic Republic,Southeast Asia,20,0,26,-2,6,230800,0.00375196,0.99624804,0,,,,,,,,,,,,,
Latvia,Europe,41,5,10,-12,14,62200,0.15802575,0.84197425,0,,,,,,,,,,,,,
Lebanon,Middle East,29,5,13,20,4,10230,0.01330645,0.98669355,0,,,,,,,,,,,,,
Lesotho,Sub-Saharan Africa,20,11,30,-6,21,30360,0.00057692,0.99942308,0,,,,,,,,,,,,,
Liberia,Sub-Saharan Africa,18,30,35,-1,9,96320,0,1,0,,,,,,,,,,,,,
Libya,Middle East,26,0,21,-7,4,1759540,0,1,0,,,,,,,,,,,,,
Liechtenstein,Europe,42,5,10,4,6,160,0.36333333,0.63666667,0,,,,,,,,,,,,,
Lithuania,Europe,39,5,10,-6,14,62674,0.06870883,0.93129117,0,,,,,,,,,,,,,
Luxembourg,Europe,39,5,11,19,7,2590,0.05374823,0.94625177,0,,,,,,,,,,,,,
Madagascar,Sub-Saharan Africa,18,31,34,0,7,581795,0.00736585,0.99263415,0,,,,,,,,,,,,,
Malawi,Sub-Saharan Africa,17,22,40,0,12,94280,0.00004552,0.99995448,0,,,,,,,,,,,,,
Malaysia,Southeast Asia,26,5,17,3,5,328550,0.00021792,0.99978208,0,,,,,,,,,,,,,
Maldives,South Asia,24,8,23,0,3,300,0,1,0,,,,,,,,,,,,,
Mali,Sub-Saharan Africa,17,5,42,-2,13,1220190,0.00210954,0.99789046,0,,,,,,,,,,,,,
Malta,Europe,40,5,10,7,8,320,0.00290416,0.99709584,0,,,,,,,,,,,,,
Marshall Islands,Oceania,23,5,30,-17,4,180,0,1,0,,,,,,,,,,,,,
Mauritania,Sub-Saharan Africa,20,7,34,-1,9,1030700,0,1,0,,,,,,,,,,,,,
Mauritius,Sub-Saharan Africa,33,5,11,0,8,2030,0.00036585,0.99963415,0,,,,,,,,,,,,,
Mexico,Middle America,26,5,19,-2,6,1943950,0.01429963,0.97790553,0.00779484,,,,,,,,,,,,,
Micronesia,Oceania,26,5,24,-19,5,3170,0,1,0,,,,,,,,,,,,,
Monaco,Europe,51,5,6,23,7,2,0,1,0,,,,,,,,,,,,,
Mongolia,East Asia,26,25,28,0,6,1553560,0,1,0,279857964,,,,,,,,,,,,
Montenegro,Europe,36,5,12,-3,10,13450,0.01624339,0.98375661,0,,,,,,,,,,,,,
Morocco,Middle East,26,5,22,-3,6,446300,0.00186735,0.99813265,0,,,,,,,,,,,,,
Mozambique,Sub-Saharan Africa,17,30,43,0,13,786380,0.0007563,0.9992437,0,,,,,,,,,,,,,
Myanmar,Southeast Asia,28,18,17,-1,9,653290,0.00001633,0.975493874,0.024489796,,,,,,,,,,,,,
namibia,Sub-Saharan Africa,20,39,30,0,7,823290,0.01742892,0.98257108,0,,,,,,,,,,,,,
nauru,Oceania,25,0,36,-9,8,20,0,1,0,,,,,,,,,,,,,
Nepal,South Asia,21,12,22,-3,7,143350,0.00424227,0.99575773,0,,,,,,,,,,,,,
Netherlands,Europe,41,5,10,1,8,33720,0.04556792,0.95443208,0,,,,,,,,,,,,,
New Zealand,Oceania,37,5,13,5,7,263310,0.24575646,0.75424354,0,,,,,,,,,,,,,
Nicaragua,Middle America,22,19,23,-6,5,120340,0.01867704,0.98132296,0,,,,,,,,,,,,,
Niger,Sub-Saharan Africa,15,11,50,0,11,1266700,0.0000051,0.9999949,0,,,,,,,,,,,,,
Nigeria,Sub-Saharan Africa,18,6,39,0,13,910770,0.00023268,0.99976732,0,,,,,,,,,,,,,
Norway,Europe,39,5,12,8,8,365268,0.06850681,0.93149319,0,,,,,,,,,,,,,
Oman,Middle East,25,5,20,39,2,309500,0.00052632,0.99947368,0,,,,,,,,,,,,,
Pakistan,South Asia,22,22,28,-3,8,770880,0.0011267,0.867651581,0.131221719,,,,,,,,,,,,,
Palau,Oceania,33,0,14,0,9,460,0,1,0,,,,,,,,,,,,,
Panama,Middle America,27,13,20,2,5,74340,0.01371742,0.98628258,0,,,,,,,,,,,,,
Papua New Guinea,Oceania,20,0,33,0,10,452860,0.0113,0.9887,0,,,,,,,,,,,,,
Paraguay,South America,23,9,23,-1,6,397300,0.01166287,0.099954442,0.888382688,,,,,,,,,,,,,
Peru,South America,26,11,20,-3,5,1280000,0.03450835,0.96549165,0,,,,,,,,,,,,,
Philippines,Southeast Asia,22,13,24,-1,6,298170,0.00897484,0.916467844,0.074557316,30724315,,,,,,,,,,,,
Poland,Europe,38,5,10,0,10,306230,0.05266365,0.94733635,0,,,,,,,,,,,,,
Portugal,Europe,41,5,8,-4,10,91590,0.11945676,0.852827054,0.027716186,,,,,,,,,,,,,
Qatar,Middle East,32,5,11,2,1,11610,0,1,0,,,,,,,,,,,,,
Republic of Korea,East Asia,38,5,9,0,5,97230,0.01136631,0.98863369,0,4348716,,,,,,,,,,,,
Republic of Macedonia,Europe,37,0,11,1,9,25220,0.01469933,0.98530067,0,,,,,,,,,,,,,
Republic of Moldova,Europe,35,5,11,0,11,32850,0.01042654,0.98957346,0,,,,,,,,,,,,,
Romania,Europe,38,5,10,0,12,230170,0.02436699,0.970335839,0.005297171,,,,,,,,,,,,,
Russian Federation,Russia and Caucasus,38,5,13,2,13,16376870,0.00104233,0.99895767,0,,,,,,,,,,,,,
Rwanda,Sub-Saharan Africa,18,35,31,-1,8,24670,0.00262411,0.99737589,0,,,,,,,,,,,,,
Saint Kitts and Nevis,Middle America,34,0,13,7,7,260,0,1,0,,,,,,,,,,,,,
Saint Lucia,Middle America,29,0,13,0,8,610,0,1,0,,,,,,,,,,,,,
Saint Vincent and the Grenadines,Middle America,28,0,17,-9,8,390,0,1,0,,,,,,,,,,,,,
Samoa,Oceania,21,5,29,-24,5,2830,0.95714286,0.04285714,0,,,,,,,,,,,,,
San Marino,Europe,44,5,10,5,7,60,0,1,0,,,,,,,,,,,,,
Sao Tome and Principe,Sub-Saharan Africa,19,5,36,-2,7,960,0.09371069,0.90628931,0,,,,,,,,,,,,,
Saudi Arabia,Middle East,26,5,22,2,4,2149690,0.00546045,0.99453955,0,,,,,,,,,,,,,
Senegal,Sub-Saharan Africa,18,14,40,-1,8,192530,0.00380673,0.99619327,0,,,,,,,,,,,,,
Serbia,Europe,38,5,9,0,14,87460,0.00173574,0.99826426,0,,,,,,,,,,,,,
Seychelles,Sub-Saharan Africa,32,5,19,2,7,460,0,1,0,,,,,,,,,,,,,
Sierra Leone,Sub-Saharan Africa,19,5,38,-1,17,72180,0,1,0,,,,,,,,,,,,,
Singapore,Southeast Asia,37,5,9,12,5,700,0,1,0,1557,,,,,,,,,,,,
Slovakia,Europe,37,5,10,0,10,48088,0.12107687,0.843499821,0.035423309,,,,,,,,,,,,,
Slovenia,Europe,42,5,10,0,9,20140,0.16419437,0.83580563,0,,,,,,,,,,,,,
Solomon Islands,Oceania,19,5,31,0,5,27990,0.01313131,0.98686869,0,,,,,,,,,,,,,
Somalia,Sub-Saharan Africa,16,5,44,-3,12,627340,0,1,0,,,,,,,,,,,,,
South Africa,Sub-Saharan Africa,25,5,20,3,11,1213090,0.00336654,0.779696291,0.216937169,,,,,,,,,,,,,
South Sudan,Sub-Saharan Africa,18,5,36,16,12,619745,0,1,0,,,,,,,,,,,,,
Spain,Europe,40,5,9,-4,8,498800,0.09563324,0.898481638,0.005885122,,,,,,,,,,,,,
Sri Lanka,South Asia,31,5,18,-3,6,62710,0.00850218,0.99149782,0,,,,,,,,,,,,,
Sudan,Middle East,19,5,34,-4,8,1886068,0,0.994194485,0.005805515,,,,,,,,,,,,,
Suriname,South America,28,8,20,-2,7,156000,0,1,0,,,,,,,,,,,,,
Swaziland,Sub-Saharan Africa,19,24,30,-1,14,17200,0.00005263,0.99994737,0,,,,,,,,,,,,,
Sweden,Europe,41,5,12,2,9,410340,0.18350515,0.81649485,0,,,,,,,,,,,,,
Switzerland,Europe,42,5,10,6,8,39516,0.27009346,0.72990654,0,,,,,,,,,,,,,
Syrian Arab Republic,Middle East,22,5,24,-11,4,183630,0.00349895,0.99650105,0,,,,,,,,,,,,,
Tajikistan,Central Asia,21,37,34,-5,7,139960,0.00046939,0.99953061,0,,,,,,,,,,,,,
Thailand,Southeast Asia,35,9,12,0,8,510890,0.00171767,0.99828233,0,,,,,,,,,,,,,
Timor-Leste,Southeast Asia,16,31,37,0,10,14870,0.11098655,0.88901345,0,,,,,,,,,,,,,
Togo,Sub-Saharan Africa,19,19,37,0,11,54390,0.0004878,0.9995122,0,,,,,,,,,,,,,
Tonga,Oceania,21,0,27,-19,7,720,0.00925926,0.99074074,0,,,,,,,,,,,,,
Trinidad and Tobago,Middle America,32,0,13,-3,10,5130,0,1,0,,,,,,,,,,,,,
Tunisia,Middle East,29,5,19,-3,6,155360,0.03411045,0.96588955,0,,,,,,,,,,,,,
Turkey,Middle East,28,5,16,0,5,769630,0.02602624,0.97397376,0,,,,,,,,,,,,,
Turkmenistan,Central Asia,25,5,22,-1,8,469930,0,1,0,,,,,,,,,,,,,
Tuvalu,Oceania,25,5,25,0,9,30,0,1,0,,,,,,,,,,,,,
Uganda,Sub-Saharan Africa,16,25,43,-1,9,199810,0.0250989,0.9749011,0,,,,,,,,,,,,,
Ukraine,Europe,39,5,11,1,15,579320,0.00809462,0.99190538,0,,,,,,,,,,,,,
United Arab Emirates,Middle East,28,5,15,22,1,83600,0.01084746,0.98915254,0,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,Europe,40,5,12,3,9,241930,0.10427378,0.89572622,0,,,,,,,,,,,,,
United Republic of Tanzania,Sub-Saharan Africa,17,5,40,-1,9,885800,0.00782313,0.99217687,0,,,,,,,,,,,,,
United States of America,United States of America,37,5,13,3,8,9158022,0.01245147,0.520538538,0.467009992,,,,,,,,,,,,,
Uruguay,South America,34,5,14,-2,9,175020,0.07728279,0.03727172,0.88544549,,,,,,,,,,,,,
Uzbekistan,Central Asia,24,8,22,-1,5,425400,0.00004536,0.99995464,0,,,,,,,,,,,,,
Vanuatu,Oceania,21,6,29,0,5,12190,0.01517241,0.98482759,0,,,,,,,,,,,,,
Venezuela,South America,26,0,20,0,5,882050,0.00001765,0.99998235,0,,,,,,,,,,,,,
Vietnam,Southeast Asia,29,0,17,0,7,310070,0.00230512,0.99769488,0,26893608,,,,,,,,,,,,
Yemen,Middle East,18,26,36,-1,8,527970,0,1,0,,,,,,,,,,,,,
Zambia,Sub-Saharan Africa,16,50,45,-1,11,743390,0.00201045,0.99798955,0,,,,,,,,,,,,,
Zimbabwe,Sub-Saharan Africa,19,33,33,6,9,386850,0.0001093,0.9998907,0,,,,,,,,,,,,,
